"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type","prevprev_pitch_type"
"8",13,"1","0",4,"1","1",0,0,0,0,-1,2.28,42,0.257,2,-1,10,3,0,0,"10","1"
"1",17,"1","0",6,"1","2",0,0,0,0,3,3.78,1,0.192,0,1,2,1,0,0,"1","8"
"1",28,"1","1",7,"2","2",0,0,0,0,1,1.59,0,0,0,1,4,1,0,0,"1","10"
"1",3,"1","1",1,"0","2",2,0,0,0,1,2.29,37,0.279,11,-1,9,2,0,0,"1","1"
"8",15,"1","0",5,"1","1",1,0,0,0,3,3.78,1,0.3,0,1,2,1,0,0,"8","8"
"10",12,"1","1",3,"1","2",2,1,0,0,2,2.53,57,0.258,11,1,4,0,0,0,"1","1"
"1",19,"1","0",4,"3","1",2,1,1,0,3,2.18,49,0.297,2,1,5,0,0,0,"10","1"
"8",8,"1","0",2,"3","2",1,0,0,0,2,2.53,21,0.196,2,1,4,0,0,0,"1","1"
"1",1,"1","0",1,"2","1",0,0,0,0,0,3.78,0,0.125,0,1,2,1,0,0,"1","2"
"10",18,"1","1",5,"1","1",1,0,0,0,3,2.37,22,0.232,6,-1,2,0,0,0,"8","1"
"8",20,"1","0",5,"2","1",1,0,0,0,4,3.02,15,0.231,5,-1,6,2,0,0,"8","1"
"1",11,"1","0",3,"1","1",2,0,0,0,0,2.91,20,0.196,5,-1,13,7,0,0,"8","8"
"10",5,"1","0",1,"1","2",2,1,1,0,0,0,0,0,0,1,0,0,0,0,"10","10"
"8",6,"1","0",2,"1","1",1,1,0,0,2,1.59,8,0.195,1,1,4,1,0,0,"8","1"
"1",18,"1","1",4,"1","1",2,0,1,0,0,3.05,0,0,0,1,12,7,5,6,"1","1"
"10",7,"1","1",2,"1","2",1,0,1,1,-1,2.77,41,0.243,9,1,3,0,0,0,"10","1"
"1",1,"1","1",1,"0","2",0,0,0,0,0,0,4,0.5,1,1,0,0,0,0,"1","1"
"1",25,"1","1",7,"1","1",1,0,0,0,1,2.36,40,0.245,7,1,9,3,0,0,"1","1"
"1",18,"1","1",5,"1","1",2,0,0,0,-1,3.21,0,0.267,0,1,5,2,3,3,"1","1"
"1",3,"1","0",1,"0","2",1,1,0,0,0,0.71,6,0.464,2,-1,2,0,0,0,"2","1"
"8",13,"1","0",4,"2","1",1,0,0,0,-1,5.02,4,0.152,1,1,1,1,0,0,"1","8"
"10",2,"1","0",1,"1","1",1,0,0,0,0,1.5,0,0.2,0,1,1,0,0,0,"1","1"
"1",16,"1","1",4,"1","2",0,0,0,0,0,3.05,35,0.259,2,1,12,7,0,0,"1","10"
"8",3,"1","0",1,"1","1",0,1,1,0,0,4.37,15,0.321,3,-1,1,2,0,0,"8","1"
"1",1,"1","0",1,"1","1",0,0,0,0,0,2.66,6,0.176,2,-1,2,1,0,0,"1","1"
"1",15,"1","1",4,"1","2",2,0,1,0,3,1.99,7,0.298,3,1,3,1,0,0,"10","10"
"1",6,"1","0",2,"0","2",0,0,0,0,0,2.57,10,0.206,0,1,9,3,0,0,"8","1"
"10",19,"1","0",5,"2","0",2,0,0,0,1,0,0,0,0,1,0,0,0,0,"8","1"
"10",3,"1","1",1,"1","2",0,1,0,0,0,2.53,57,0.258,11,1,4,0,0,0,"10","1"
"1",12,"1","1",4,"2","2",0,0,0,0,-2,0,1,0.2,0,1,0,0,0,0,"1","10"
"8",12,"1","1",3,"1","1",0,0,0,0,0,3.05,52,0.292,8,1,12,7,0,0,"8","1"
"8",20,"1","0",6,"1","1",0,0,0,0,-2,1.74,3,0.252,0,-1,4,1,0,0,"8","8"
"1",16,"1","1",4,"0","2",2,0,0,0,0,1.59,16,0.333,4,1,4,1,0,0,"1","1"
"8",17,"1","0",5,"1","1",1,1,0,0,-2,0,1,0.5,1,1,0,0,0,0,"2","1"
"1",13,"1","0",4,"0","2",1,0,1,0,1,2.69,62,0.268,18,1,10,4,0,0,"1","1"
"8",24,"1","0",7,"2","2",0,0,0,0,2,1.5,2,0.188,0,1,1,0,0,0,"10","10"
"10",10,"1","0",3,"1","2",0,0,0,0,0,1.5,0,0.267,0,1,1,0,0,0,"10","2"
"1",23,"1","0",6,"1","1",1,0,0,0,2,2.53,24,0.284,4,1,4,0,0,0,"8","10"
"1",12,"1","0",4,"2","2",0,0,1,0,1,2.69,42,0.257,14,1,10,4,0,0,"10","1"
"1",1,"1","1",1,"0","2",0,0,0,0,0,2.69,38,0.271,14,1,10,4,0,0,"1","1"
"10",11,"1","1",3,"1","2",2,0,0,0,0,0,0,0,0,1,0,0,0,0,"1","1"
"10",18,"1","1",6,"1","2",1,0,0,0,1,2.66,0,0,0,-1,2,1,2,2,"10","1"
"1",6,"1","1",2,"2","1",1,1,0,0,0,4.08,13,0.287,5,1,2,2,0,0,"10","1"
"10",5,"1","1",2,"3","2",0,0,0,0,2,1.59,9,0.227,4,1,4,1,0,0,"10","1"
"1",17,"1","0",5,"3","2",0,0,0,0,2,2.53,21,0.196,2,1,4,0,0,0,"1","1"
"10",21,"1","0",6,"2","1",0,1,0,0,-2,1.74,7,0.293,2,-1,4,1,0,0,"1","8"
"10",7,"1","1",2,"1","2",2,0,1,0,0,3.78,2,0.333,1,1,2,1,0,0,"10","1"
"1",23,"1","0",6,"1","1",2,0,0,0,1,1.5,2,0.3,2,1,1,0,0,0,"1","1"
"1",9,"1","1",3,"0","2",0,0,0,0,1,4.08,0,0,0,1,2,2,3,3,"1","8"
"1",1,"1","1",1,"1","1",0,0,0,0,0,3.02,13,0.318,5,-1,6,2,0,0,"10","1"
"10",19,"1","0",6,"2","0",0,1,0,1,3,3.78,0,0.125,0,1,2,1,0,0,"2","2"
"10",19,"1","1",6,"0","2",0,0,0,0,2,4.5,31,0.277,5,1,1,0,0,0,"10","10"
"1",1,"1","1",1,"0","2",0,0,0,0,2,2.06,23,0.287,5,-1,5,0,0,0,"1","1"
"1",11,"1","1",3,"1","1",2,0,0,0,0,0,0,0,0,1,0,0,0,0,"1","1"
"10",9,"1","1",3,"1","2",0,0,0,0,1,4.28,1,0,0,1,3,2,2,3,"1","1"
"1",10,"1","0",3,"2","2",1,0,0,0,2,1.59,10,0.357,1,1,4,1,0,0,"8","10"
"10",10,"1","0",4,"3","2",0,0,0,0,0,2.13,48,0.252,5,-1,4,0,0,0,"8","1"
"10",10,"1","0",3,"2","2",1,0,0,0,0,2.91,13,0.285,4,-1,13,7,0,0,"1","10"
"10",26,"1","1",8,"3","2",0,0,0,0,9,1.99,0,0.2,0,1,3,1,0,0,"10","1"
"8",20,"1","0",5,"2","0",0,1,0,0,3,2.53,29,0.234,16,1,11,4,0,0,"1","10"
"1",2,"1","0",1,"0","2",1,0,0,0,0,1.74,3,0.252,0,-1,4,1,0,0,"1","1"
"10",12,"1","1",4,"2","0",0,0,0,0,0,2.91,67,0.295,26,-1,13,7,0,0,"10","10"
"10",21,"1","1",6,"0","2",2,1,0,0,2,4.5,55,0.281,25,1,1,0,0,0,"10","1"
"8",26,"1","0",7,"2","0",1,0,0,0,1,2.36,14,0.158,5,1,9,3,0,0,"10","10"
"1",20,"1","0",4,"1","1",0,1,0,0,-2,2.79,72,0.283,21,-1,13,7,0,0,"1","1"
"10",14,"1","1",4,"2","1",0,0,0,0,4,4.08,11,0.321,5,1,2,2,0,0,"1","1"
"1",20,"1","1",6,"2","0",0,0,0,0,6,0,0,0,0,1,0,0,0,0,"1","1"
"8",4,"1","0",1,"2","2",1,1,1,0,-1,7.94,2,0.238,0,-1,0,1,0,0,"1","2"
"10",2,"1","1",1,"0","2",1,0,0,0,0,1.59,21,0.311,4,1,4,1,0,0,"1","10"
"1",9,"1","1",3,"1","1",0,0,0,0,2,3.54,0,0.231,0,-1,4,2,3,2,"1","1"
"1",12,"1","1",3,"1","2",2,1,0,0,2,2.53,57,0.258,11,1,4,0,0,0,"1","1"
"10",20,"1","0",6,"1","1",0,0,0,0,0,2.36,25,0.229,4,1,9,3,0,0,"1","1"
"8",14,"1","1",4,"1","1",0,0,0,0,-1,2.77,34,0.209,5,1,3,0,0,0,"1","1"
"1",16,"1","0",5,"1","2",2,0,0,0,0,2.99,2,0.28,0,1,15,8,0,0,"1","8"
"1",3,"1","1",1,"3","0",2,0,0,0,0,3.78,8,0.313,2,1,2,1,0,0,"1","1"
"1",24,"1","0",5,"1","1",1,0,0,0,-2,2.79,50,0.29,8,-1,13,7,0,0,"10","1"
"10",13,"1","0",4,"0","2",2,0,0,0,0,3.78,10,0.292,3,1,2,1,0,0,"1","1"
"10",2,"1","0",1,"1","1",1,0,0,0,0,2.53,19,0.273,5,1,8,2,0,0,"1","2"
"10",10,"1","0",3,"1","1",1,0,0,0,2,1.59,10,0.357,1,1,4,1,0,0,"10","2"
"8",7,"1","0",2,"1","2",2,0,0,0,0,2.08,7,0.2,0,-1,2,0,0,0,"1","1"
"1",3,"1","1",1,"1","2",2,0,0,0,0,2.54,58,0.29,14,1,12,4,0,0,"1","10"
"1",27,"1","1",7,"2","2",1,0,0,0,4,3.02,14,0.17,5,-1,6,2,0,0,"1","10"
"1",5,"1","0",2,"1","1",0,0,0,0,0,1.5,2,0.188,0,1,1,0,0,0,"8","1"
"10",8,"1","1",3,"0","2",0,0,0,0,1,4.5,3,0.286,0,1,1,0,3,3,"10","1"
"1",6,"1","1",2,"1","1",0,0,0,0,1,2.06,57,0.236,18,-1,5,0,0,0,"1","2"
"10",18,"1","1",5,"1","2",0,0,0,0,1,2.06,0,0.186,0,-1,5,0,12,11,"1","1"
"10",6,"1","1",2,"2","2",2,0,0,0,0,2.66,10,0.232,2,-1,2,1,0,0,"10","1"
"1",3,"1","1",1,"1","1",2,0,0,0,0,2.36,50,0.268,18,1,9,3,0,0,"10","10"
"1",10,"1","0",4,"1","1",0,0,0,0,0,2.13,48,0.252,5,-1,4,0,0,0,"8","8"
"1",21,"1","1",5,"1","1",1,0,0,0,4,3.02,20,0.253,8,-1,6,2,0,0,"8","1"
"1",4,"1","0",2,"1","1",0,0,0,0,1,4.5,41,0.243,12,1,1,0,0,0,"1","8"
"10",24,"1","1",6,"1","1",0,1,0,0,-3,2.79,65,0.24,12,-1,12,5,0,0,"8","1"
"10",11,"1","0",2,"1","2",2,0,1,0,0,2.79,72,0.283,21,-1,13,7,0,0,"8","8"
"10",9,"1","1",3,"1","2",0,0,0,0,2,3.54,0,0.231,0,-1,4,2,3,2,"10","1"
"1",23,"1","1",6,"1","2",0,1,1,0,-2,2.28,21,0.236,5,-1,10,3,0,0,"1","10"
"10",15,"1","0",4,"2","2",1,1,0,0,1,2.37,17,0.273,2,-1,2,0,0,0,"8","10"
"1",18,"1","1",6,"2","1",1,0,0,0,0,2.99,3,0.133,0,1,15,8,15,8,"1","1"
"10",15,"1","0",4,"1","2",0,1,1,1,-2,2.13,2,0.154,1,-1,4,0,0,0,"10","10"
"1",18,"1","1",5,"0","2",2,0,1,0,-2,0,0,0,0,1,0,0,0,0,"10","10"
"10",3,"1","0",1,"2","1",1,0,0,0,2,2.06,92,0.34,40,-1,5,0,0,0,"10","8"
"1",19,"1","0",4,"1","1",2,0,0,0,-1,0.71,0,0.25,0,-1,2,0,0,0,"1","10"
"10",5,"1","0",1,"1","1",2,1,1,0,0,2.91,35,0.218,20,-1,13,7,0,0,"2","1"
"1",11,"1","1",4,"0","2",0,0,0,0,0,2.82,23,0.256,9,1,7,2,0,0,"8","1"
"1",20,"1","1",6,"2","2",0,0,0,0,6,0,0,0,0,1,0,0,0,0,"1","1"
"10",14,"1","1",4,"2","1",0,0,0,0,-1,2.77,34,0.209,5,1,3,0,0,0,"8","1"
"8",6,"1","0",2,"1","1",0,1,0,0,0,4.28,2,0.108,0,1,3,2,0,0,"1","2"
"1",1,"1","0",1,"3","2",0,0,0,0,0,2.66,6,0.176,2,-1,2,1,0,0,"1","10"
"1",11,"1","0",3,"3","1",0,1,0,0,0,1.5,0,0.2,0,1,1,0,0,0,"1","8"
"1",12,"1","1",3,"2","1",1,0,0,0,2,3.03,78,0.269,25,1,13,8,0,0,"1","1"
"10",1,"1","1",1,"2","1",0,0,0,0,0,2.77,6,0.284,0,1,3,0,0,0,"1","1"
"8",8,"1","0",2,"1","2",2,0,0,0,-2,0,1,0.5,1,1,0,0,0,0,"10","8"
"1",10,"1","1",3,"2","1",1,0,0,0,0,2.3,19,0.265,4,1,4,0,0,0,"8","1"
"1",4,"1","1",2,"2","2",0,0,0,0,0,2.66,12,0.315,5,-1,2,1,0,0,"1","1"
"1",22,"1","1",5,"1","1",2,0,0,0,-2,0,54,0.304,12,1,0,0,0,0,"8","10"
"10",19,"1","0",5,"3","2",2,0,0,0,-2,1.74,4,0.188,0,-1,4,1,0,0,"8","8"
"10",2,"1","1",1,"0","2",1,0,0,0,0,2.77,30,0.322,5,1,3,0,0,0,"1","10"
"1",14,"1","0",3,"2","1",0,1,0,0,-1,2.79,61,0.307,10,-1,13,7,0,0,"8","8"
"8",16,"1","0",5,"3","1",1,0,0,0,1,2.08,7,0.2,0,-1,2,0,0,0,"8","1"
"10",4,"1","0",1,"1","1",2,0,0,0,-1,2.91,32,0.249,6,-1,6,0,0,0,"1","2"
"1",16,"1","1",4,"1","1",0,0,0,0,-3,2.54,30,0.267,3,1,12,4,0,0,"1","1"
"10",23,"1","0",6,"2","2",2,0,0,0,5,0,0,0,0,1,0,0,0,0,"1","1"
"8",20,"1","0",7,"1","1",0,0,0,0,1,2.99,17,0.265,7,1,15,8,0,0,"10","1"
"10",27,"1","0",8,"1","2",2,1,1,0,1,2.66,1,0.15,0,-1,2,1,0,0,"10","1"
"8",11,"1","0",3,"2","1",0,1,0,0,0,2.87,40,0.281,8,1,12,6,0,0,"8","1"
"8",21,"1","1",6,"2","2",1,0,0,0,3,2.37,72,0.341,21,-1,2,0,0,0,"10","10"
"10",21,"1","1",6,"2","2",2,1,0,0,2,4.5,55,0.281,25,1,1,0,0,0,"10","10"
"1",18,"1","0",6,"2","0",0,0,0,0,2,4.5,19,0.221,3,1,1,0,0,0,"1","10"
"1",10,"1","0",3,"3","0",0,0,0,0,-1,2.52,33,0.287,10,-1,11,4,0,0,"1","8"
"1",17,"1","0",5,"1","1",0,1,0,0,1,2.69,18,0.264,3,1,10,4,0,0,"8","1"
"10",2,"1","0",1,"0","2",1,0,0,0,0,1.99,3,0.235,1,1,3,1,0,0,"1","1"
"1",2,"1","1",1,"1","2",1,1,0,0,0,3.21,5,0.25,4,1,5,2,0,0,"1","1"
"10",29,"1","0",7,"0","2",1,0,0,0,1,1.59,10,0.357,1,1,4,1,0,0,"10","8"
"8",23,"1","0",6,"2","1",1,0,0,0,2,2.53,24,0.284,4,1,4,0,0,0,"1","8"
"1",15,"1","1",4,"2","0",0,0,0,0,4,5.06,6,0.171,1,1,0,1,0,0,"8","10"
"8",24,"1","0",7,"1","2",0,0,0,0,2,1.5,2,0.188,0,1,1,0,0,0,"10","10"
"8",23,"1","1",6,"3","2",0,1,0,0,0,2.77,34,0.209,5,1,3,0,0,0,"1","8"
"1",18,"1","1",4,"2","0",2,1,1,1,4,3.02,14,0.17,5,-1,6,2,0,0,"1","10"
"10",22,"1","0",6,"3","0",0,1,1,0,-2,1.74,11,0.235,4,-1,4,1,0,0,"1","8"
"1",6,"1","0",2,"2","2",0,1,0,0,0,4.28,2,0.108,0,1,3,2,0,0,"1","8"
"8",4,"1","0",1,"1","1",0,0,1,0,1,2.79,67,0.244,28,-1,13,7,0,0,"1","1"
"1",16,"1","1",4,"0","2",1,0,0,0,4,5.06,5,0.389,1,1,0,1,0,0,"1","1"
"1",4,"1","0",2,"1","2",0,0,0,0,2,1.59,25,0.302,9,1,4,1,0,0,"1","10"
"1",12,"1","1",4,"1","1",1,0,0,0,0,3.78,8,0.313,2,1,2,1,0,0,"2","1"
"1",15,"1","1",5,"0","2",1,0,0,0,0,2.82,21,0.263,0,1,7,2,0,0,"1","1"
"1",6,"1","1",2,"1","2",2,0,0,0,0,3.21,10,0.256,2,1,5,2,0,0,"1","1"
"1",7,"1","1",2,"0","2",0,0,0,0,-2,0,8,0.267,2,1,0,0,0,0,"10","1"
"1",5,"1","1",2,"1","2",1,0,0,0,1,2.69,59,0.249,22,1,10,4,0,0,"1","10"
"10",9,"1","1",3,"1","2",0,0,0,0,2,3.54,0,0.231,0,-1,4,2,3,2,"1","1"
"8",13,"1","0",3,"1","2",2,0,1,0,0,1.59,25,0.302,9,1,4,1,0,0,"1","1"
"10",3,"1","0",1,"2","2",2,0,0,0,0,2.66,14,0.37,5,-1,2,1,0,0,"1","1"
"8",17,"1","0",4,"1","1",2,0,1,0,2,3.03,14,0.379,3,1,13,8,0,0,"10","8"
"10",17,"1","0",4,"2","2",0,0,0,0,-1,0.71,3,0.259,1,-1,2,0,0,0,"10","10"
"1",18,"1","1",4,"1","1",2,1,1,0,-1,0,0,0,0,1,0,0,0,0,"1","10"
"1",8,"1","1",3,"0","2",0,0,0,0,3,2.37,0,0.333,0,-1,2,0,0,0,"1","1"
"1",11,"1","0",3,"2","2",0,0,0,0,2,2.53,36,0.259,5,1,4,0,0,0,"10","10"
"1",20,"1","0",6,"1","2",0,0,0,0,0,2.36,25,0.229,4,1,9,3,0,0,"10","1"
"8",11,"1","0",3,"1","2",1,0,0,0,1,2.57,8,0.234,0,1,9,3,0,0,"8","1"
"10",8,"1","1",2,"1","2",1,0,0,0,-2,0,21,0.209,6,1,0,0,0,0,"1","1"
"1",24,"1","1",6,"2","2",1,0,0,1,0,2.06,57,0.236,18,-1,5,0,0,0,"10","1"
"1",8,"1","1",2,"1","1",2,0,0,0,0,2.53,8,0.258,3,1,11,4,0,0,"1","1"
"1",18,"1","1",5,"3","2",1,0,0,0,3,1.99,0,0,0,1,3,1,2,3,"10","1"
"10",3,"1","0",1,"3","2",2,0,0,0,0,2.82,35,0.315,8,1,7,2,0,0,"1","8"
"1",21,"1","0",6,"2","2",0,0,0,0,1,2.9,78,0.296,30,-1,14,8,0,0,"10","1"
"8",11,"1","1",3,"2","1",1,0,0,0,-1,2.77,30,0.322,5,1,3,0,0,0,"10","8"
"10",17,"1","0",4,"1","2",0,1,0,0,3,2.18,26,0.229,0,1,5,0,0,0,"10","2"
"1",26,"1","1",6,"3","2",1,0,0,0,4,2.87,49,0.293,12,1,12,6,0,0,"10","10"
"10",13,"1","0",4,"1","2",1,0,0,0,0,2.91,27,0.254,9,-1,13,7,0,0,"1","10"
"8",5,"1","0",1,"2","0",1,1,1,0,0,2.53,24,0.284,4,1,4,0,0,0,"1","2"
"1",16,"1","1",6,"0","2",0,0,0,0,2,2.29,17,0.218,3,-1,9,2,0,0,"1","10"
"1",4,"1","1",2,"0","2",0,0,0,0,0,2.54,58,0.235,17,1,12,4,0,0,"1","1"
"10",19,"1","0",5,"1","2",1,0,0,1,2,2.53,25,0.255,6,1,4,0,0,0,"10","1"
"1",11,"1","1",3,"1","1",1,1,0,0,2,1.59,21,0.311,4,1,4,1,0,0,"10","10"
"1",9,"1","1",3,"0","2",0,0,0,0,-1,2.79,7,0.234,0,-1,12,5,10,5,"1","10"
"1",22,"1","1",6,"1","2",0,0,0,0,4,3.54,16,0.226,3,-1,4,2,0,0,"1","1"
"1",11,"1","0",4,"1","2",0,0,0,0,0,2.53,19,0.273,5,1,8,2,0,0,"1","1"
"1",1,"1","1",1,"1","2",0,0,0,0,0,4.5,31,0.277,5,1,1,0,0,0,"1","10"
"10",17,"1","1",5,"2","2",2,0,0,0,1,2.3,23,0.199,4,1,4,0,0,0,"1","10"
"10",9,"1","0",3,"0","2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,"1","1"
"10",19,"1","0",5,"0","2",1,0,0,0,0,1.59,10,0.357,1,1,4,1,0,0,"1","10"
"8",19,"1","0",5,"1","2",0,0,0,0,-1,4.37,5,0.301,0,-1,1,2,0,0,"8","10"
"1",22,"1","0",5,"2","0",1,1,1,1,3,2.53,18,0.287,5,1,11,4,0,0,"2","1"
"10",17,"1","1",5,"1","1",2,0,0,0,1,2.3,23,0.199,4,1,4,0,0,0,"10","10"
"1",26,"1","1",8,"1","2",1,1,0,0,1,2.66,7,0.299,3,-1,2,1,0,0,"1","10"
"1",4,"1","0",1,"1","2",0,1,1,0,-1,4.37,4,0.273,0,-1,1,2,0,0,"8","1"
"10",23,"1","1",6,"0","2",2,1,0,0,3,2.37,35,0.303,5,-1,2,0,0,0,"10","10"
"10",12,"1","1",3,"1","2",1,1,0,0,-2,0,37,0.3,8,1,0,0,0,0,"10","1"
"1",17,"1","1",4,"2","0",1,1,1,0,4,3.02,5,0.267,2,-1,6,2,0,0,"1","10"
"1",28,"1","0",6,"1","2",1,0,0,0,-2,2.79,47,0.234,11,-1,13,7,0,0,"10","8"
"1",1,"1","1",1,"1","1",0,0,0,0,0,4.5,31,0.277,5,1,1,0,0,0,"10","1"
"10",23,"1","0",6,"2","2",2,0,0,0,1,1.5,2,0.3,2,1,1,0,0,0,"1","1"
"10",10,"1","0",3,"0","2",0,0,0,0,0,1.5,0,0.267,0,1,1,0,0,0,"2","1"
"1",22,"1","0",5,"3","2",0,0,0,0,-1,2.91,32,0.249,6,-1,6,0,0,0,"1","1"
"10",21,"1","1",6,"0","2",1,0,0,0,3,2.37,72,0.341,21,-1,2,0,0,0,"1","1"
"10",19,"1","0",5,"2","1",1,0,1,0,-3,2.79,33,0.283,8,-1,12,5,0,0,"10","1"
"1",14,"1","1",5,"1","1",0,0,0,0,1,2.66,4,0.264,1,-1,2,1,0,0,"1","1"
"1",3,"1","0",1,"1","2",0,0,0,0,1,2.79,65,0.314,14,-1,13,7,0,0,"10","10"
"1",21,"1","0",6,"2","0",2,0,0,0,0,3.21,29,0.256,11,1,5,2,0,0,"1","1"
"10",17,"1","0",5,"2","2",0,0,0,0,1,3.54,5,0.154,2,-1,4,2,0,0,"8","8"
"8",17,"1","0",5,"1","2",0,0,0,0,-2,1.74,6,0.169,1,-1,4,1,0,0,"10","10"
"8",23,"1","1",6,"2","1",0,1,0,0,0,2.77,34,0.209,5,1,3,0,0,0,"10","10"
"1",16,"1","1",4,"0","2",0,0,0,0,-2,2.91,34,0.233,9,-1,6,0,0,0,"1","1"
"1",2,"1","0",1,"3","2",0,0,0,0,0,3.02,15,0.231,5,-1,6,2,0,0,"1","1"
"1",6,"1","0",2,"0","2",0,1,0,0,-2,0,0,0,0,1,0,0,0,0,"1","1"
"8",27,"1","0",6,"1","1",2,1,1,0,-3,2.79,21,0.194,5,-1,12,5,0,0,"8","1"
"10",15,"1","1",5,"1","1",0,0,0,0,1,2.3,62,0.24,13,1,4,0,0,0,"10","10"
"1",4,"1","0",2,"2","2",0,0,0,0,0,2.77,64,0.33,27,1,3,0,0,0,"10","8"
"1",3,"1","0",1,"0","2",1,0,1,0,0,2.99,82,0.242,24,1,15,8,0,0,"1","1"
"1",4,"1","0",2,"2","2",0,0,0,0,0,2.77,64,0.33,27,1,3,0,0,0,"1","1"
"10",19,"1","0",6,"1","2",2,0,0,0,1,2.66,6,0.176,2,-1,2,1,0,0,"10","1"
"1",5,"1","0",1,"3","0",1,1,1,0,0,2.53,24,0.284,4,1,4,0,0,0,"8","1"
"1",5,"1","1",2,"2","2",1,0,0,0,0,3.78,9,0.222,3,1,2,1,0,0,"1","10"
"10",14,"1","0",4,"1","2",1,0,0,0,1,0,0,0,0,1,0,0,0,0,"1","1"
"1",15,"1","1",4,"0","2",1,0,0,0,1,3.54,14,0.354,4,-1,4,2,0,0,"10","1"
"1",17,"1","1",5,"2","2",2,0,0,0,1,2.3,23,0.199,4,1,4,0,0,0,"10","1"
"1",11,"1","1",3,"1","2",2,0,0,0,0,0,0,0,0,1,0,0,0,0,"1","1"
"8",19,"1","1",5,"1","2",1,0,0,0,1,2.06,23,0.287,5,-1,5,0,0,0,"1","10"
"8",24,"1","0",7,"1","1",0,0,0,0,3,2.37,17,0.273,2,-1,2,0,0,0,"8","2"
"10",1,"1","1",1,"1","2",0,0,0,0,0,4.08,2,0.256,1,1,2,2,0,0,"10","1"
"10",26,"1","1",7,"3","2",1,0,0,0,3,2.37,0,0.333,0,-1,2,0,0,0,"10","10"
"8",6,"1","0",1,"2","2",2,1,1,0,-2,4.37,2,0.286,0,-1,1,2,0,0,"8","1"
"1",11,"1","0",3,"1","2",1,0,0,1,1,4.28,8,0.282,3,1,3,2,0,0,"1","1"
"8",12,"1","1",4,"3","2",0,0,0,0,-2,0,1,0.2,0,1,0,0,0,0,"1","1"
"10",16,"1","1",3,"3","2",2,1,1,1,-1,0.71,0,0.233,0,-1,2,0,0,0,"1","1"
"10",12,"1","1",4,"2","1",1,0,0,0,0,3.78,8,0.313,2,1,2,1,0,0,"1","2"
