"pitch_type","batter_num","pitch_rl","bat_rl","inning","balls","strikes","out","on_1b","on_2b","on_3b","score_diff","era","rbi","avg","hr","pitcher_at_home","pitcher_wins","pitcher_losses","batter_wins","batter_losses","prev_pitch_type0","prev_pitch_typeChangeUp","prev_pitch_typeFastball","prev_pitch_typeSlider.Cutter","prevprev_pitch_type0","prevprev_pitch_typeChangeUp","prevprev_pitch_typeFastball","prevprev_pitch_typeSlider.Cutter"
"Fastball",6,"0","1",2,"1","1",1,0,0,0,1,0,13,0.261,5,-1,0,0,0,0,0,0,1,0,0,0,0,1
"ChangeUp",3,"0","1",1,"0","1",0,0,0,0,-1,7.2,14,0.315,2,-1,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",24,"0","0",5,"1","0",2,1,0,0,2,7.2,17,0.181,6,-1,0,0,0,0,0,0,0,1,1,0,0,0
"ChangeUp",2,"0","1",1,"0","1",0,0,0,0,-1,7.2,17,0.304,5,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",11,"0","1",3,"0","1",2,0,1,1,0,7.2,3,0.286,0,-1,0,0,0,0,0,0,1,0,1,0,0,0
"ChangeUp",5,"0","1",1,"1","1",0,0,0,0,-3,7.2,1,0.176,0,-1,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",10,"0","1",3,"0","0",1,1,0,0,-1,0,13,0.33,6,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",10,"0","1",3,"0","1",1,1,0,0,-1,0,13,0.33,6,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",18,"0","1",5,"0","0",1,0,0,0,-1,0,0,0.059,0,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",8,"0","1",2,"0","0",2,1,0,0,1,0,2,0.22,1,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",19,"0","1",5,"1","2",2,0,0,0,-1,0,13,0.33,6,-1,0,0,0,0,0,0,0,1,0,0,1,0
"Fastball",10,"0","0",3,"1","0",1,0,1,1,0,7.2,5,0.226,0,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",4,"0","1",2,"1","1",0,0,0,0,1,0,4,0.231,0,-1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",1,"0","1",1,"0","0",0,0,0,0,0,0,13,0.33,6,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",3,"0","1",1,"0","2",0,0,0,0,-1,7.2,14,0.315,2,-1,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",1,"0","1",1,"1","0",0,0,0,0,-1,7.2,18,0.246,4,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",21,"0","0",5,"0","0",1,0,1,0,0,7.2,25,0.267,9,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",14,"0","0",4,"1","1",0,0,1,0,-1,0,19,0.275,7,-1,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",16,"0","1",4,"1","0",2,1,1,0,-1,0,2,0.197,0,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",3,"0","0",1,"0","0",2,0,0,0,0,7.2,25,0.267,9,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",11,"0","1",3,"0","0",0,1,0,0,-4,7.2,17,0.304,5,-1,0,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",6,"0","1",1,"0","1",2,1,0,0,-3,7.2,3,0.5,0,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",16,"0","1",4,"1","1",2,1,1,0,-1,0,2,0.197,0,-1,0,0,0,0,0,0,1,0,0,0,1,0
"ChangeUp",23,"0","1",5,"0","0",1,0,0,0,2,7.2,3,0.2,0,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",1,"0","1",1,"0","0",0,0,0,0,-1,7.2,18,0.246,4,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",14,"0","1",4,"0","1",0,1,0,0,-1,7.2,3,0.2,0,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",19,"0","0",5,"0","0",1,0,0,0,-2,7.2,5,0.226,0,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",15,"0","1",3,"0","1",0,1,1,0,-6,7.2,3,0.5,0,-1,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",20,"0","1",6,"1","2",0,0,0,0,-1,0,11,0.286,4,-1,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",17,"0","1",5,"0","0",0,0,0,0,-1,0,2,0.22,1,-1,0,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",15,"0","1",3,"0","0",0,1,1,0,-6,7.2,3,0.5,0,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",14,"0","0",4,"0","1",0,0,1,0,-1,0,19,0.275,7,-1,0,0,0,0,0,0,0,1,1,0,0,0
"Fastball",6,"0","1",1,"1","1",2,1,0,0,-3,7.2,3,0.5,0,-1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",6,"0","1",1,"0","0",2,1,0,0,-3,7.2,3,0.5,0,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",21,"0","1",6,"1","1",0,1,0,0,-1,0,9,0.275,3,-1,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",14,"0","1",4,"3","2",0,1,0,0,-1,7.2,3,0.2,0,-1,0,0,0,0,0,0,1,0,0,0,0,1
"ChangeUp",15,"0","1",4,"1","1",1,1,1,0,-1,0,13,0.261,5,-1,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",7,"0","1",2,"1","0",1,0,0,0,1,0,2,0.197,0,-1,0,0,0,0,0,1,0,0,1,0,0,0
"ChangeUp",3,"0","1",1,"0","0",0,0,0,0,-1,7.2,14,0.315,2,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",3,"0","1",1,"0","0",2,1,0,0,0,0,9,0.275,3,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",3,"0","1",1,"1","1",2,1,0,0,0,0,9,0.275,3,-1,0,0,0,0,0,0,0,1,0,0,1,0
"Fastball",15,"0","1",4,"1","0",1,1,1,0,-1,0,13,0.261,5,-1,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",11,"0","1",3,"1","0",0,1,0,0,-4,7.2,17,0.304,5,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",14,"0","1",4,"0","2",0,1,0,0,-1,7.2,3,0.2,0,-1,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",11,"0","1",3,"0","0",2,0,1,1,0,7.2,3,0.286,0,-1,0,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",7,"0","1",2,"0","0",1,0,0,0,1,0,2,0.197,0,-1,0,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",4,"0","1",2,"0","1",0,0,0,0,1,0,4,0.231,0,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",22,"0","1",5,"1","0",1,1,0,0,2,7.2,14,0.274,4,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",24,"0","0",5,"1","1",2,1,0,0,2,7.2,17,0.181,6,-1,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",12,"0","1",4,"1","0",0,0,0,0,-1,0,9,0.275,3,-1,0,0,0,0,0,0,0,1,1,0,0,0
"Fastball",4,"0","1",2,"0","0",0,0,0,0,0,7.2,14,0.274,4,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",21,"0","1",6,"0","1",0,1,0,0,-1,0,9,0.275,3,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",8,"0","1",3,"0","1",0,1,0,0,0,7.2,3,0.25,2,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",17,"0","1",5,"2","1",0,0,0,0,-2,7.2,3,0.25,2,-1,0,0,0,0,0,0,0,1,0,0,0,1
"Fastball",6,"0","1",2,"0","1",1,0,0,0,1,0,13,0.261,5,-1,0,0,0,0,0,0,0,1,1,0,0,0
"Fastball",4,"0","1",2,"1","0",0,0,0,0,0,7.2,14,0.274,4,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",19,"0","0",5,"1","1",1,0,0,0,-2,7.2,5,0.226,0,-1,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",8,"0","1",3,"1","1",0,1,0,0,0,7.2,3,0.25,2,-1,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",8,"0","1",2,"0","0",1,0,0,0,-3,7.2,2,0.162,0,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",2,"0","1",1,"0","2",0,0,0,0,-1,7.2,17,0.304,5,-1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",21,"0","1",6,"3","2",0,1,0,0,-1,0,9,0.275,3,-1,0,0,0,0,0,0,0,1,0,0,1,0
"Fastball",22,"0","1",6,"2","1",0,1,1,0,0,0,4,0.231,0,-1,0,0,0,0,0,1,0,0,0,1,0,0
"Fastball",12,"0","1",3,"1","0",0,0,1,0,-5,7.2,14,0.315,2,-1,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",2,"0","1",1,"0","2",0,0,0,0,-1,7.2,17,0.304,5,-1,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",2,"0","1",1,"0","0",0,0,0,0,-1,7.2,17,0.304,5,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",8,"0","1",2,"0","1",2,1,0,0,1,0,2,0.22,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",15,"0","1",4,"3","1",1,1,1,0,-1,0,13,0.261,5,-1,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",22,"0","1",6,"0","0",0,1,1,0,0,0,4,0.231,0,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",12,"0","0",4,"0","0",0,0,0,0,-1,7.2,25,0.267,9,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",4,"0","1",2,"0","0",0,0,0,0,1,0,4,0.231,0,-1,0,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",12,"0","1",3,"0","0",0,0,1,0,-5,7.2,14,0.315,2,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",22,"0","1",5,"0","0",1,1,0,0,2,7.2,14,0.274,4,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",4,"0","1",1,"0","0",0,1,0,0,-3,7.2,17,0.286,3,-1,0,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",22,"0","1",6,"0","1",0,1,1,0,0,0,4,0.231,0,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",16,"0","1",4,"0","0",2,0,1,1,-1,7.2,7,0.238,2,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",14,"0","1",4,"0","0",0,1,0,0,-1,7.2,3,0.2,0,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",5,"0","1",2,"1","0",1,0,0,0,0,7.2,3,0.2,0,-1,0,0,0,0,0,0,0,1,1,0,0,0
"Fastball",19,"0","1",5,"0","0",2,0,0,0,-1,0,13,0.33,6,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",1,"0","0",1,"0","1",0,0,0,0,0,7.2,5,0.226,0,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",8,"0","1",2,"0","2",2,1,0,0,1,0,2,0.22,1,-1,0,0,0,0,0,0,1,0,0,0,1,0
"ChangeUp",13,"0","1",3,"1","0",0,1,0,0,-5,7.2,17,0.286,3,-1,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",15,"0","1",4,"2","1",1,1,1,0,-1,0,13,0.261,5,-1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",14,"0","1",4,"2","2",0,1,0,0,-1,7.2,3,0.2,0,-1,0,0,0,0,0,0,0,1,0,0,1,0
"Fastball",17,"0","1",5,"0","1",0,0,0,0,-1,0,2,0.22,1,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",14,"0","0",4,"3","1",0,0,1,0,-1,0,19,0.275,7,-1,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",19,"0","0",5,"1","2",1,0,0,0,-2,7.2,5,0.226,0,-1,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",8,"0","1",3,"0","0",0,1,0,0,0,7.2,3,0.25,2,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",5,"0","0",2,"1","2",0,0,0,0,1,0,19,0.275,7,-1,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",9,"0","0",3,"0","0",0,1,1,0,0,7.2,12,0.198,5,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",1,"0","1",1,"0","1",0,0,0,0,0,0,13,0.33,6,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",13,"0","1",4,"2","2",0,1,0,0,-1,0,4,0.231,0,-1,0,0,0,0,0,0,1,0,0,0,0,1
"Fastball",19,"0","1",5,"1","0",2,0,0,0,-1,0,13,0.33,6,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",23,"0","1",5,"1","0",1,0,0,0,2,7.2,3,0.2,0,-1,0,0,0,0,0,1,0,0,1,0,0,0
"Fastball",1,"0","1",1,"1","1",0,0,0,0,-1,7.2,18,0.246,4,-1,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",14,"0","1",3,"0","0",0,1,0,1,-6,7.2,1,0.176,0,-1,0,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",22,"0","1",6,"1","1",0,1,1,0,0,0,4,0.231,0,-1,0,0,0,0,0,1,0,0,0,0,1,0
"Fastball",7,"0","1",3,"1","0",0,0,0,0,0,7.2,7,0.238,2,-1,0,0,0,0,0,0,0,1,1,0,0,0
"Fastball",13,"0","1",4,"0","1",0,1,0,0,-1,0,4,0.231,0,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",22,"0","1",6,"2","2",0,1,1,0,0,0,4,0.231,0,-1,0,0,0,0,0,0,1,0,0,1,0,0
"Fastball",9,"0","1",3,"0","0",0,0,0,0,-1,0,0,0.059,0,-1,0,0,0,0,1,0,0,0,1,0,0,0
"ChangeUp",11,"0","1",3,"0","0",2,0,0,0,-1,0,11,0.286,4,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",5,"0","1",1,"1","0",0,0,0,0,-3,7.2,1,0.176,0,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",17,"0","1",5,"2","2",0,0,0,0,-1,0,2,0.22,1,-1,0,0,0,0,0,0,0,1,0,0,0,1
"Fastball",20,"0","1",5,"0","0",1,1,0,0,-1,7.2,3,0.286,0,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",16,"0","1",4,"1","2",2,1,1,0,-1,0,2,0.197,0,-1,0,0,0,0,0,0,1,0,0,0,1,0
"Fastball",16,"0","1",4,"0","0",2,1,1,0,-1,0,2,0.197,0,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",17,"0","1",5,"0","0",0,0,0,0,-2,7.2,3,0.25,2,-1,0,0,0,0,1,0,0,0,1,0,0,0
"Fastball",13,"0","1",4,"3","2",0,0,1,0,-1,0,4,0.231,0,-1,0,0,0,0,0,0,1,0,0,0,1,0
"ChangeUp",10,"0","1",3,"0","1",0,0,0,0,-3,7.2,18,0.246,4,-1,0,0,0,0,0,0,1,0,1,0,0,0
"Fastball",20,"0","1",6,"0","2",0,0,0,0,-1,0,11,0.286,4,-1,0,0,0,0,0,0,0,1,0,0,1,0
